,thm
0,"\begin{thm}
Let us consider the multiplet 
$(z, D, F_{ab}, C_{jk}, \lambda_{ja}, \chi_{ja}), \quad j = 1,2$
where:
\begin{itemize}
\item
$z, D$
are two complex Bosonic scalar field which are 
$SU(2)$
scalars; 
\item
$F_{ab}$
are complex Bosonic fields which are
$SU(2)$ 
scalars and such that
\be
F_{ab} = F_{ba};
\ee
\item
$C_{jk}$
are complex Bosonic fields which verify
\be
V_{U}^{-1} C_{jk} V_{U} = U_{jl} U_{km} C_{lm}, \quad \forall U \in SU(2)
\ee
and such that
\be
C_{jk} = C_{kj};
\ee
\item
$\lambda_{ja},\quad \chi_{ja}$
are Fermionic Dirac spinor fields and verifying
\be
V_{U}^{-1} \lambda_{ja} V_{U} = U_{jk} \lambda_{k}, \quad
V_{U}^{-1} \chi_{ja} V_{U} = U_{jk} \chi_{ka}, \quad \forall U \in SU(2).
\ee
\end{itemize}

The action of the supercharges on these fields is well defined through:
\be
i [ Q_{ja}, z ] = \chi_{ja} \qquad
[ \bar{Q}_{j\bar{a}}, z ] = 0.
\ee
\be
~[ Q_{ja} , F_{bc} ] = \epsilon_{ab} \lambda_{jc} + \epsilon_{ac} \lambda_{jb}
\ee
\be
~[ \bar{Q}_{j\bar{a}}, F_{bc} ] = - i \epsilon_{jk} 
(\sigma^{\mu}_{c\bar{a}} \partial_{\mu}\chi_{kb}
+ \sigma^{\mu}_{b\bar{a}} \partial_{\mu}\chi_{kc})
\ee
\be
~[ Q_{ja} , C_{kl} ] = 
- (\epsilon_{jk} \lambda_{la} + \epsilon_{jl} \lambda_{ka})
\ee
\be
~[ \bar{Q}_{j\bar{a}}, C_{kl} ] = i \sigma^{\mu}_{b\bar{a}}\partial_{\mu}
( \delta_{jk} \chi_{l}^{b} + \delta_{jl} \chi_{k}^{b})
\ee
\be
~[ Q_{ja} , D ] = 0
\ee
\be
[ \bar{Q}_{j\bar{a}}, D ] = 
2i \epsilon_{jk}\sigma^{\mu}_{b\bar{a}} \partial_{\mu}\lambda_{k}^{b}
\ee
\be
\{ Q_{ja}, \chi_{kb} \} = \epsilon_{jk} F_{ab} + \epsilon_{ab} C_{jk}
\ee
\be
\{ Q_{ja}, \bar{\chi}_{k\bar{b}} \} = 2 \delta_{jk} \sigma^{\mu}_{a\bar{b}}
\partial_{\mu}z^{*}
\ee
\be
\{ Q_{ja}, \lambda_{kb} \} = \epsilon_{jk} \epsilon_{ab} D
\ee
\be
\{ \bar{Q}_{j\bar{b}}, \lambda_{ka} \} = 
- i ( \delta_{jk} \sigma^{\mu}_{c\bar{b}} \epsilon^{cd}\partial_{\mu}F_{ad}
+ \epsilon_{jl} \sigma^{\mu}_{a\bar{b}} \partial_{\mu}C_{lk}).
\ee

If the field $z$ verifies the Klein-Gordon equation for mass $m$ then all
fields of the multiplet verify the same equation. 
\label{n=2}
\"
1,"\begin{thm}
The condition
\be
C_{jk}^{*} = \epsilon_{jl} \epsilon_{km} C_{lm}
\label{constr1}
\ee
is compatible with the $SU(2)$ transformations. It is consistent with the
action of the supercharges from the preceding theorem {\it iff} we also have:
\be
\lambda_{ja} = i \epsilon_{jk} \sigma^{\mu}_{a\bar{b}} 
\partial_{\mu}\bar{\chi}_{k}^{\bar{b}}
\label{constr2}
\ee
\be
D = - 2 i \partial^{2}z^{*}
\label{constr3}
\ee
\be
\epsilon^{\mu\nu\alpha\beta}\partial_{\nu}F_{\alpha\beta} = 0.
\label{constr4}
\ee
\"
2,"\begin{thm}
The reduced multiplet is composed of the fields
$(z,F_{\mu\nu},C_{jk},\chi_{ja})$
verifying the restrictions
\be
C_{jk} = C_{kj}, \qquad C_{jk}^{*} = \epsilon_{jl} \epsilon_{km} C_{lm}
\ee
\be
F_{\mu\nu} = - F_{\nu\mu}, \qquad
\epsilon^{\mu\nu\alpha\beta}\partial_{\nu}F_{\alpha\beta} = 0.
\ee

The action of the supercharges on these fields is well defined by:
\be
i [ Q_{ja}, z ] = \chi_{ja} \qquad
[ \bar{Q}_{j\bar{a}}, z ] = 0.
\ee
\be
~[ Q_{ja}, F^{\mu\nu} ] = {i\over 2} \epsilon_{jk} 
(\sigma^{\mu}_{a\bar{b}} \partial^{\nu}\bar{\chi}_{k}^{\bar{b}}
- \sigma^{\nu}_{a\bar{b}} \partial^{\mu}\bar{\chi}_{k}^{\bar{b}})
\ee
\be
~[ Q_{ja} , C_{kl} ] = - i \sigma^{\mu}_{a\bar{b}}\partial_{\mu}
(\epsilon_{jk} \epsilon_{lm} \bar{\chi}_{m}^{\bar{b}} 
+ \epsilon_{jl} \epsilon_{km}\bar{\chi}_{m}^{\bar{b}})
\ee
\be
~[ \bar{Q}_{j\bar{a}}, C_{kl} ] = i \sigma^{\mu}_{b\bar{a}}\partial_{\mu}
( \delta_{jk} \chi_{l}^{b} + \delta_{jl} \chi_{k}^{b})
\ee
\be
\{ Q_{ja}, \chi_{kb} \} = - 2 i \epsilon_{jk} \sigma^{\mu\nu}_{ab} F_{\mu\nu} 
+ \epsilon_{ab} C_{jk}
\ee
\be
\{ Q_{ja}, \bar{\chi}_{k\bar{b}} \} = 2 \delta_{jk} \sigma^{\mu}_{a\bar{b}}
\partial_{\mu}z^{*}.
\ee
\label{reduced}
\"
3,"\begin{thm}
In the preceding conditions the relations
\be
C_{jk} = 0
\ee
\be
\sigma^{\mu}_{a\bar{b}}\partial_{\mu}\bar{\chi}_{j}^{\bar{b}} = 0
\ee
\be
\partial^{2}z = 0
\ee
\be
\partial^{\mu}F_{\mu\nu} = 0
\ee
are supersymmetric invariant. In particular we can consider the multiplet
$(z,\chi_{ja},F_{\mu\nu})$
of zero mass fields such that
$\chi_{ja}$
verifies Dirac equation of zero mass and
$F_{\mu\nu}$
verifies the restrictions
\be
F_{\mu\nu} = - F_{\nu\mu}, \qquad
\epsilon^{\mu\nu\alpha\beta}\partial_{\nu}F_{\alpha\beta} = 0 \qquad
\partial^{\mu}F_{\mu\nu} = 0.
\ee

The action of the supercharges is well defined by:
\be
i [ Q_{ja}, z ] = \chi_{ja} \qquad
[ \bar{Q}_{j\bar{a}}, z ] = 0.
\ee
\be
~[ Q_{ja}, F^{\mu\nu} ] = {i\over 2} \epsilon_{jk} 
(\sigma^{\mu}_{a\bar{b}} \partial^{\nu}\bar{\chi}_{k}^{\bar{b}}
- \sigma^{\nu}_{a\bar{b}} \partial^{\mu}\bar{\chi}_{k}^{\bar{b}})
\ee
\be
\{ Q_{ja}, \chi_{kb} \} = - 2 i \epsilon_{jk} \sigma^{\mu\nu}_{ab} F_{\mu\nu} 
\ee
\be
\{ Q_{ja}, \bar{\chi}_{k\bar{b}} \} = 2 \delta_{jk} \sigma^{\mu}_{a\bar{b}}
\partial_{\mu}z^{*}.
\ee
\label{reduced1}
\"
4,"\begin{thm}
Let us suppose that for the multiplet of Theorem \ref{n=2} the field $z$ is a 
complex scalar field of mass 
$m \geq 0$;
in particular we have
\be
~[ z(x), z(y) ] = 0
\ee
\be
~[ z(x), z^{*}(y) ] = - i~D_{m}(x-y).
\ee

Then we also have:
\be
~[ F_{ab}(x), F_{cd}(y) ] = i~\alpha~
(\epsilon_{ac} \epsilon_{bd} + \epsilon_{ad} \epsilon_{bc}) D_{m}(x-y)
\ee
\be
~[ F_{ab}(x), F_{\bar{c}\bar{d}}^{*}(y) ] = 
2 i~\left( \sigma^{\mu}_{a\bar{c}} \sigma^{\nu}_{b\bar{d}}
+ \sigma^{\mu}_{a\bar{d}} \sigma^{\nu}_{b\bar{c}}\right)~
\partial_{\mu}\partial_{\nu}D_{m}(x-y)
\ee
\be
~[ C_{jk}(x), C_{lm}(y) ] = - i~\alpha 
(\epsilon_{jl} \epsilon_{km} + \epsilon_{jm} \epsilon_{kl}) D_{m}(x-y)
\ee
\be
~[ C_{jk}(x), C_{lm}^{*}(y) ] = - 2~i~m^{2}
(\delta_{jl} \delta_{km} + \delta_{jm} \delta_{kl}) D_{m}(x-y)
\ee
\be
~[ D(x), D^{*}(y) ] = - 4~im^{2}~D_{m}(x-y)
\ee
\be
~[ z(x), D(y) ] = \alpha~D_{m}(x-y)
\ee
\be
\left\{ \chi_{ja}(x), \bar{\chi}_{k\bar{b}}(y) \right\} =
2~\delta_{jk} \sigma^{\mu}_{a\bar{b}}~\partial_{\mu}D_{m}(x-y)
\ee
\be
\left\{ \lambda_{ja}(x), \bar{\lambda}_{k\bar{b}}(y) \right\} =
2~\delta_{jk} m^{2}~\sigma^{\mu}_{a\bar{b}}~\partial_{\mu}D_{m}(x-y)
\ee
\be
\left\{ \chi_{ja}(x), \lambda_{kb}(y) \right\} 
= - i \alpha~\epsilon_{ab}~\epsilon_{jk}~D_{m}(x-y),
\ee
and all other (anti)commutators are zero. Here
$\alpha \in \C$
is a free parameter. 
\"
5,"\begin{thm}
The causal (anti)commutators for the reduced multiplet of Theorem \ref{reduced}
are
\be
~[ z(x), z^{*}(y) ] = - i~D_{m}(x-y).
\ee
\be
[ F_{\mu\nu}(x), F_{\rho\sigma}(y) ] = - {i\over 2}
( g_{\mu\rho} \partial_{\nu}\partial_{\sigma}
- g_{\nu\rho} \partial_{\mu}\partial_{\sigma}
+ g_{\nu\sigma} \partial_{\mu}\partial_{\rho}
- g_{\nu\rho} \partial_{\mu}\partial_{\sigma})~D_{m}(x-y)
\ee
\be
~[ C_{jk}(x), C_{lm}(y) ] = - 2 i m^{2} 
(\epsilon_{jl} \epsilon_{km} + \epsilon_{jm} \epsilon_{kl}) D_{m}(x-y)
\ee
\be
\left\{ \chi_{ja}(x), \bar{\chi}_{k\bar{b}}(y) \right\} =
2~\delta_{jk} \sigma^{\mu}_{a\bar{b}}~\partial_{\mu}D_{m}(x-y).
\ee

This corresponds to
$\alpha = 2 m^{2}$;
in particular we have
${\cal D}_{jk} = 0$
so
${\cal C}_{jk} = C_{jk}.$
The positivity condition is verified in this case for
$m > 0$.
\"
6,"\begin{thm}
The causal (anti)commutators for the reduced multiplet of Theorem \ref{reduced1}
are
\be
~[ z(x), z^{*}(y) ] = - i~D_{m}(x-y).
\ee
\be
[ F_{\mu\nu}(x), F_{\rho\sigma}(y) ] = - {i\over 4}
( g_{\mu\rho} \partial_{\nu}\partial_{\sigma}
- g_{\nu\rho} \partial_{\mu}\partial_{\sigma}
+ g_{\nu\sigma} \partial_{\mu}\partial_{\rho}
- g_{\nu\rho} \partial_{\mu}\partial_{\sigma})~D_{m}(x-y)
\ee
\be
\left\{ \chi_{ja}(x), \bar{\chi}_{k\bar{b}}(y) \right\} =
2~\delta_{jk} \sigma^{\mu}_{a\bar{b}}~\partial_{\mu}D_{m}(x-y).
\ee

The positivity condition is verified in this case.
\"
7,"\begin{thm}
Let us consider the multiplet 
$(\phi_{j}, f_{j}, \psi_{a}, \chi_{a}), \quad j = 1,2$
where:
\begin{itemize}
\item
$\phi_{j}, f_{j}$
are complex Bosonic scalar field verify
\be
V_{U}^{-1} \phi_{j} V_{U} = U_{jk} \phi_{k}, \quad
V_{U}^{-1} f_{j} V_{U} = U_{jk} f_{k}, \quad
\quad \forall U \in SU(2).
\ee
\item
$\psi_{a},\quad \chi_{a}$
are Fermionic Dirac spinor fields which are $SU(2)$ scalars.
\end{itemize}

The action of the supercharges and of the central charge on these fields is 
well defined through:
\be
i [ Q_{ja}, \phi_{k} ] = \epsilon_{jk} \psi_{a}
\ee
\be
i [ \bar{Q}_{j\bar{a}}, \phi_{k} ] = \delta_{jk} \bar{\chi}_{\bar{a}}
\ee
\be
~[ Q_{ja} , f_{k} ] = i\epsilon_{jk} \sigma^{\mu}_{a\bar{b}}
\partial_{\mu}\bar{\chi}^{\bar{b}}
\ee
\be
~[ \bar{Q}_{j\bar{a}}, f_{k} ] = - i \delta_{jk} 
\sigma^{\mu}_{b\bar{a}} \partial_{\mu}\psi^{b}
\ee
\be
\{ Q_{ja}, \psi_{b} \} = - 2 \epsilon_{ab} f_{j}
\ee
\be
\{ Q_{ja}, \bar{\psi}_{\bar{b}} \} = 2 \epsilon_{jk} \sigma^{\mu}_{a\bar{b}}
\partial_{\mu}\phi_{k}^{*}
\ee
\be
\{ Q_{ja}, \chi_{b} \} = 2 \epsilon_{jk} \epsilon_{ab} f^{*}_{k}
\ee
\be
\{ Q_{ja}, \bar{\chi}_{\bar{b}} \} = 2 \sigma^{\mu}_{a\bar{b}}
\partial_{\mu}\phi_{j}
\ee
\be
i [ Z , \phi_{j} ] = f_{j}
\ee
\be
i [ Z, f_{j} ] = i \partial^{2} \phi_{j} 
\ee
\be
~[ Z , \psi_{a} ] = i~\sigma^{\mu}_{b\bar{a}}\partial_{\mu}\bar{\chi}^{\bar{b}}
\ee
\be
~[ Z, \chi_{a} ] = - i~\sigma^{\mu}_{a\bar{b}}\partial_{\mu}\bar{\psi}^{\bar{b}}
\ee

If the fields 
$\phi_{j}$ 
verifies the Klein-Gordon equation for mass $m$ then all fields of the 
multiplet verify the same equation. 
\label{hyper}
\"
8,"\begin{thm}
Let us suppose that for the multiplet of the preceding Theorem the fields 
$\phi_{j}$ are complex scalar fields of mass 
$m \geq 0$;
in particular we have
\be
~[ \phi_{j}(x), \phi_{k}(y) ] = 0
\ee
\be
~[ \phi_{j}(x), \phi_{k}^{*}(y) ] = - i~\delta_{jk}~D_{m}(x-y).
\ee

Then we also have:
\be
~[ f_{j}(x), f^{*}_{k}(y) ] = -i~m^{2}\delta_{jk}~D_{m}(x-y)
\ee
\be
~[ \phi_{j}(x), f_{k}(y) ] = \alpha \epsilon_{jk}~D_{m}(x-y)
\ee
\be
~[ \phi_{j}(x), f^{*}_{k}(y) ] =  \beta \delta_{jk}~D_{m}(x-y)
\ee
\be
\left\{ \psi_{a}(x), \psi_{b}(y) \right\} = -2~i~\epsilon_{ab}~D_{m}(x-y)
\ee
\be
\left\{ \psi_{a}(x), \bar{\psi}_{\bar{b}}(y) \right\} =
2~\sigma^{\mu}_{a\bar{b}}~\partial_{\mu}D_{m}(x-y)
\ee
\be
\left\{ \chi_{a}(x), \chi_{b}(y) \right\} = 
2 i~\bar{\alpha}~\epsilon_{ab}~~D_{m}(x-y),
\ee
\be
\left\{ \chi_{a}(x), \bar{\chi}_{\bar{b}}(y) \right\} =
2~\sigma^{\mu}_{a\bar{b}}~\partial_{\mu}D_{m}(x-y)
\ee
\be
\left\{ \psi_{a}(x), \chi_{b}(y) \right\} = -2~i~\beta~\epsilon_{ab}~D_{m}(x-y)
\ee
and all other (anti)commutators are zero. Here
$\alpha \in \C$
and
$\beta \in \R$
are free parameters. 
\"
9,"\begin{thm}
The following multiplet has a representation in a Hilbert space iff
\be
|\alpha|^{2} + \beta^{2} \leq 2.
\ee
\"
